Dates,Times,Sensor2278,Sensor3276,Sensor4689,Sensor5032,Section1Diff,Section2Diff,TotalAvg
2017/12/12,1345,68.968687,68.368627,57.562500,65.485567,0.600059,-7.923067,65.096345,

2017/12/12,1400,68.893939,68.511765,57.450000,65.443299,0.382175,-7.993299,65.074751,

2017/12/12,1415,68.919000,68.478431,57.791667,65.432990,0.440569,-7.641323,65.155522,

2017/12/12,1430,68.903000,68.416667,56.463636,65.592857,0.486333,-9.129221,64.844040,

2017/12/12,1445,69.014000,68.618627,57.538462,65.713265,0.395373,-8.174804,65.221089,

2017/12/12,1500,69.186000,68.411650,56.566667,65.708081,0.774350,-9.141414,64.968099,

2017/12/12,1515,69.186000,68.272549,56.233333,65.849495,0.913451,-9.616162,64.885344,

2017/12/12,1400,69.128000,66.474684,54.080000,66.224242,2.653316,-12.144242,63.976731,

2017/12/12,1415,69.089899,66.246835,53.792308,66.346465,2.843064,-12.554157,63.868877,

2017/12/08,830,69.278788,69.827184,55.586667,66.798990,-0.548397,-11.212323,65.372907,

2017/12/08,845,69.579798,69.617476,54.700000,67.621212,-0.037678,-12.921212,65.379621,

2017/12/08,900,69.720202,69.658252,56.015789,68.434343,0.061950,-12.418554,65.957147,

2017/12/08,845,69.868687,66.222500,55.581818,68.503030,3.646187,-12.921212,65.044009,

2017/12/08,900,70.137374,66.575000,56.795455,68.872727,3.562374,-12.077273,65.595139,

2017/12/08,845,70.494949,66.888750,55.681250,68.268687,3.606199,-12.587437,65.333409,

2017/12/08,900,70.753535,67.065000,56.894444,67.500000,3.688535,-10.605556,65.553245,

2017/12/08,915,70.917172,66.283750,60.137500,62.676768,4.633422,-2.539268,65.003797,

2017/12/08,200,71.072000,67.126471,57.928571,53.023232,3.945529,4.905339,62.287569,

2017/12/08,215,71.163366,67.149505,58.125000,46.672727,4.013861,11.452273,60.777650,

2017/12/08,230,71.206931,67.247525,57.813043,47.707071,3.959406,10.105973,60.993642,

2017/12/08,245,71.458416,67.197030,57.894737,50.673469,4.261386,7.221267,61.805913,

2017/12/08,300,71.599010,67.269608,58.095238,52.979798,4.329402,5.115440,62.485913,

2017/12/08,200,71.638614,64.466667,58.194737,58.153535,7.171947,0.041201,63.113388,

2017/12/08,215,71.598020,64.691139,58.519048,62.330303,6.906881,-3.811255,64.284627,

2017/12/08,230,71.767327,64.378205,58.808696,66.275000,7.389122,-7.466304,65.307307,

2017/12/08,145,71.870297,67.186538,59.030000,67.920000,4.683759,-8.890000,66.501709,

2017/12/08,200,71.754455,67.126471,59.061111,68.196000,4.627985,-9.134889,66.534509,

2017/12/08,215,71.691089,67.149505,58.011111,68.624000,4.541584,-10.612889,66.368926,

2017/12/08,230,71.394059,67.247525,58.315789,68.266000,4.146535,-9.950211,66.305843,

2017/12/08,245,71.320792,67.197030,57.752941,67.871000,4.123762,-10.118059,66.035441,

2017/12/08,300,71.332000,67.269608,57.281250,68.025000,4.062392,-10.743750,65.976964,

2017/12/08,145,71.254000,64.388750,57.200000,68.130000,6.865250,-10.930000,65.243188,

2017/12/08,200,71.061386,64.466667,57.675000,67.997000,6.594719,-10.322000,65.300013,

2017/12/08,215,70.886139,64.691139,56.735714,68.090099,6.194999,-11.354385,65.100773,

2017/12/08,230,71.144554,64.378205,56.505556,67.821782,6.766349,-11.316227,64.962524,

2017/10/31,1630,71.152475,68.368932,56.166667,67.797030,2.783543,-11.630363,65.871276,

2017/10/31,1645,71.107921,68.211650,56.605556,67.754455,2.896270,-11.148900,65.919896,

2017/10/31,1700,71.109901,68.530097,56.978947,67.775248,2.579804,-10.796300,66.098548,

2017/10/31,1630,71.095050,65.820000,57.613333,67.864000,5.275050,-10.250667,65.598096,

2017/10/31,1645,71.177228,65.950000,59.564286,67.761000,5.227228,-8.196714,66.113128,

2017/10/03,1015,70.883168,68.485149,60.188235,67.589000,2.398020,-7.400765,66.786388,

2017/10/03,1030,70.874257,68.529703,61.300000,67.742424,2.344554,-6.442424,67.111596,

2017/10/03,1015,71.070297,65.951899,61.493333,67.704040,5.118398,-6.210707,66.554892,

2017/10/03,1030,71.295050,66.364557,60.900000,67.681818,4.930493,-6.781818,66.560356,

2017/10/03,1045,71.302970,65.921519,60.342857,67.717172,5.381451,-7.374315,66.321130,

2017/10/03,1100,71.275248,65.908861,59.947059,67.595960,5.366387,-7.648901,66.181782,

2017/10/03,1115,71.174257,66.174684,60.383333,67.508081,4.999574,-7.124747,66.310089,

2017/10/03,1015,71.185149,67.062500,61.412500,67.746465,4.122649,-6.333965,66.851653,

2017/10/03,1030,71.128713,66.765000,60.730000,67.681818,4.363713,-6.951818,66.576383,

2017/10/03,1045,71.049505,66.703750,60.740000,67.945455,4.345755,-7.205455,66.609677,

2017/10/03,1100,70.838614,66.713750,60.540000,68.054545,4.124864,-7.514545,66.536727,

2017/10/03,1115,70.898020,66.331250,61.133333,68.089899,4.566770,-6.956566,66.613126,

2017/10/03,1130,70.690099,66.730000,61.300000,68.123232,3.960099,-6.823232,66.710833,

2017/09/22,945,70.586139,69.451923,62.237500,67.933000,1.134216,-5.695500,67.552140,

2017/09/22,1000,70.465347,69.546154,63.028571,67.953465,0.919193,-4.924894,67.748384,

2017/09/22,1015,70.556436,69.621359,61.142857,67.684158,0.935076,-6.541301,67.251203,

2017/09/22,1030,70.712871,69.702885,60.185714,67.994059,1.009987,-7.808345,67.148882,

2017/09/22,1045,70.639604,69.643269,60.990000,67.932673,0.996335,-6.942673,67.301387,

2017/09/22,945,70.492079,66.610000,55.581818,67.861386,3.882079,-12.279568,65.136321,

2017/09/22,1000,70.377228,66.480000,56.795455,67.623762,3.897228,-10.828308,65.319111,

2017/09/22,1015,70.317822,66.367500,55.681250,67.409901,3.950322,-11.728651,64.944118,

2017/09/22,1030,70.250000,66.061250,56.894444,67.108911,4.188750,-10.214466,65.078651,

2017/09/09,900,70.142157,71.484158,60.137500,66.939604,-1.342002,-6.802104,67.175855,

2017/09/09,915,70.321569,71.504951,57.928571,66.895050,-1.183382,-8.966478,66.662535,

2017/09/09,930,70.277451,71.474257,58.125000,66.715842,-1.196806,-8.590842,66.648137,

2017/09/09,945,70.029412,71.209901,58.827273,66.658416,-1.180489,-7.831143,66.681250,

